Number,Movie,IMDB-link,Bechdel-Rating,Release-Year,Directors,Writers
23,Alex Strangelove  ,http://us.imdb.com/title/tt5688996/,2,2018,['Craig Johnson'],['Craig Johnson']
24,Alpha ,http://us.imdb.com/title/tt4244998/,0,2018,['Albert Hughes'],"['Daniele Sebastian Wiedenhaupt', 'Albert Hughes']"
25,American Animals  ,http://us.imdb.com/title/tt6212478/,1,2018,['Bart Layton'],['Bart Layton']
26,An Elephant Sitting Still (Da xiang xi di er zuo)  ,http://us.imdb.com/title/tt8020896/,0,2018,['Bo Hu'],['Bo Hu']
27,Andid edlilega (And Breathe Normally)  ,http://us.imdb.com/title/tt6776106/,3,2018,['Isold Uggadottir'],['Isold Uggadottir']
28,Annihilation  ,http://us.imdb.com/title/tt2798920/,3,2018,['Alex Garland'],"['Alex Garland', 'Jeff VanderMeer']"
29,Ant-Man and the Wasp  ,http://us.imdb.com/title/tt5095030/,3,2018,['Peyton Reed'],"['Chris McKenna', 'Erik Sommers']"
30,Apostle  ,http://us.imdb.com/title/tt6217306/,3,2018,['Gareth Evans'],['Gareth Evans']
31,Aquaman  ,http://us.imdb.com/title/tt1477834/,3,2018,['James Wan'],"['David Leslie Johnson-McGoldrick', 'Will Beall']"
32,Assassination Nation  ,http://us.imdb.com/title/tt6205872/,3,2018,['Sam Levinson'],['Sam Levinson']
33,Au poste!  ,http://us.imdb.com/title/tt7156222/,0,2018,['Quentin Dupieux'],['Quentin Dupieux']
34,Avengers: Infinity War  ,http://us.imdb.com/title/tt4154756/,3,2018,"['Anthony Russo', 'Joe Russo']","['Christopher Markus', 'Stephen McFeely']"
35,The Ballad of Buster Scruggs  ,http://us.imdb.com/title/tt6412452/,1,2018,"['Ethan Coen', 'Joel Coen']","['Joel Coen', 'Ethan Coen']"
36,Bella Ciao!  ,http://us.imdb.com/title/tt5861756/,3,2018,['Carolyn Combs'],['Michael Springate']
37,Ben Is Back  ,http://us.imdb.com/title/tt7545524/,3,2018,['Peter Hedges'],['Peter Hedges']
38,Bird Box ,http://us.imdb.com/title/tt2737304/,3,2018,['Susanne Bier'],"['Eric Heisserer', 'Josh Malerman']"
39,Black Panther   ,http://us.imdb.com/title/tt1825683/,3,2018,['Ryan Coogler'],"['Ryan Coogler', 'Joe Robert Cole']"
40,BlacKkKlansman  ,http://us.imdb.com/title/tt7349662/,3,2018,['Spike Lee'],"['Charlie Wachtel', 'David Rabinowitz']"
41,Blindspotting  ,http://us.imdb.com/title/tt7242142/,1,2018,['Carlos López Estrada'],"['Rafael Casal', 'Daveed Diggs']"
42,Blockers  ,http://us.imdb.com/title/tt2531344/,3,2018,['Kay Cannon'],"['Brian Kehoe', 'Jim Kehoe']"
43,Bohemian Rhapsody  ,http://us.imdb.com/title/tt1727824/,2,2018,['Bryan Singer'],"['Anthony McCarten', 'Peter Morgan']"
44,Book Club  ,http://us.imdb.com/title/tt6857166/,3,2018,['Bill Holderman'],"['Bill Holderman', 'Erin Simms']"
45,Bullitt County  ,http://us.imdb.com/title/tt6140148/,3,2018,['David McCracken'],['David McCracken']
46,Bumblebee  ,http://us.imdb.com/title/tt4701182/,1,2018,['Travis Knight'],"['Christina Hodson', 'Christina Hodson']"
47,Burning  ,http://us.imdb.com/title/tt7282468/,0,2018,['Chang-dong Lee'],"['Jungmi Oh', 'Chang-dong Lee']"
48,Cam  ,http://us.imdb.com/title/tt8361028/,3,2018,['Daniel Goldhaber'],"['Isa Mazzei', 'Daniel Goldhaber']"
