movie_title,movie_imdb_url,bechdel_rating
Guardians of the Galaxy Vol. 2  ,http://us.imdb.com/title/tt3896198/,3
Happy Death Day  ,http://us.imdb.com/title/tt5308322/,3
The Hitman's Bodyguard  ,http://us.imdb.com/title/tt1959563/,3
Home Again  ,http://us.imdb.com/title/tt5719700/,3
Hostiles ,http://us.imdb.com/title/tt5478478/,3
How to Be a Latin Lover ,http://us.imdb.com/title/tt4795124/,2
I Can Speak  ,http://us.imdb.com/title/tt7342204/,3
I Don't Feel at Home in This World Anymore  ,http://us.imdb.com/title/tt5710514/,3
I Kill Giants  ,http://us.imdb.com/title/tt4547194/,3
"I, Tonya  ",http://us.imdb.com/title/tt5580036/,3
The Incredible Jessica James  ,http://us.imdb.com/title/tt5990342/,3
Ingrid Goes West  ,http://us.imdb.com/title/tt5962210/,3
Innan vi dor  ,http://us.imdb.com/title/tt5598192/,3
It  ,http://us.imdb.com/title/tt1396484/,3
It Comes at Night  ,http://us.imdb.com/title/tt4695012/,3
"Jesus, Bro!  ",http://us.imdb.com/title/tt5878326/,1
Jigsaw  ,http://us.imdb.com/title/tt3348730/,3
John Wick: Chapter 2  ,http://us.imdb.com/title/tt4425200/,1
Jumanji: Welcome to the Jungle  ,http://us.imdb.com/title/tt2283362/,3
Justice League  ,http://us.imdb.com/title/tt0974015/,3
Karera ga honki de amu toki wa (Close Knit) ,http://us.imdb.com/title/tt5633706/,3
Kidnap ,http://us.imdb.com/title/tt1458169/,3
The Killing of a Sacred Deer  ,http://us.imdb.com/title/tt5715874/,3
King Arthur  ,http://us.imdb.com/title/tt1972591/,1
Kingsman: The Golden Circle  ,http://us.imdb.com/title/tt4649466/,1
Kong: Skull Island  ,http://us.imdb.com/title/tt3731562/,1
La llamada  ,http://us.imdb.com/title/tt5176252/,3
Lady Bird  ,http://us.imdb.com/title/tt4925292/,3
The Last Word  ,http://us.imdb.com/title/tt5023260/,3
The LEGO Batman Movie  ,http://us.imdb.com/title/tt4116284/,3
Life  ,http://us.imdb.com/title/tt5442430/,3
The Little Hours  ,http://us.imdb.com/title/tt5666304/,3
Logan  ,http://us.imdb.com/title/tt3315342/,3
Logan Lucky  ,http://us.imdb.com/title/tt5439796/,3
Loving Vincent  ,http://us.imdb.com/title/tt3262342/,1
Lucky  ,http://us.imdb.com/title/tt5859238/,2
The Mad Ones  ,http://us.imdb.com/title/tt3887208/,3
The Man with the Iron Heart  ,http://us.imdb.com/title/tt3296908/,1
Mark Felt: The Man Who Brought Down the White House  ,http://us.imdb.com/title/tt5175450/,2
Marshall  ,http://us.imdb.com/title/tt5301662/,1
Mary and The Witch's Flower  ,http://us.imdb.com/title/tt6336356/,3
Maximilian  ,http://us.imdb.com/title/tt5833846/,2
Mayhem  ,http://us.imdb.com/title/tt4348012/,3
Megan Leavy  ,http://us.imdb.com/title/tt4899370/,3
The Meyerowitz Stories (new and selected)  ,http://us.imdb.com/title/tt5536736/,1
MFKZ ,http://us.imdb.com/title/tt4717402/,0
Molly's Game  ,http://us.imdb.com/title/tt4209788/,3
Mom and Dad  ,http://us.imdb.com/title/tt5462326/,3
Monster High: Electrified  ,http://us.imdb.com/title/tt6536944/,3
Mother!  ,http://us.imdb.com/title/tt5109784/,2
The Mountain Between Us  ,http://us.imdb.com/title/tt2226597/,3
Mudbound  ,http://us.imdb.com/title/tt2396589/,3
The Mummy  ,http://us.imdb.com/title/tt2345759/,2
Murder on the Orient Express  ,http://us.imdb.com/title/tt3402236/,3
My Cousin Rachel  ,http://us.imdb.com/title/tt4411596/,3
My Friend Dahmer  ,http://us.imdb.com/title/tt2291540/,1
My Little Pony: The Movie  ,http://us.imdb.com/title/tt4131800/,3
Naked  ,http://us.imdb.com/title/tt6048930/,2
Nogemu noraifu: Zero  ,http://us.imdb.com/title/tt5914996/,3
The Nut Job 2: Nutty By Nature  ,http://us.imdb.com/title/tt3486626/,3
Okja  ,http://us.imdb.com/title/tt3967856/,3
OM+ME  ,http://us.imdb.com/title/tt7341676/,3
On Body and Soul  ,http://us.imdb.com/title/tt5607714/,3
The Only Living Boy in New York  ,http://us.imdb.com/title/tt0460890/,1
Only the Brave  ,http://us.imdb.com/title/tt3829920/,2
Paddington 2  ,http://us.imdb.com/title/tt4468740/,3
Petit paysan  ,http://us.imdb.com/title/tt6805302/,1
Phantom Thread  ,http://us.imdb.com/title/tt5776858/,3
Pilgrimage  ,http://us.imdb.com/title/tt3531202/,0
Pirates of the Caribbean: Dead Men Tell No Tales  ,http://us.imdb.com/title/tt1790809/,1
Pitch Perfect 3  ,http://us.imdb.com/title/tt4765284/,3
Plasmatic Day  ,http://us.imdb.com/title/tt6524480/,1
Pokemon the Movie: I Choose You!  ,http://us.imdb.com/title/tt6595896/,3
The Post  ,http://us.imdb.com/title/tt6294822/,3
Power Rangers  ,http://us.imdb.com/title/tt3717490/,3
Professor Marston and the Wonder Women  ,http://us.imdb.com/title/tt6133130/,3
Psych: The Movie  ,http://us.imdb.com/title/tt6868216/,3
The Punisher  ,http://us.imdb.com/title/tt5675620/,3
Revelator  ,http://us.imdb.com/title/tt5296086/,3
Revenge  ,http://us.imdb.com/title/tt6738136/,0
Rings ,http://us.imdb.com/title/tt0498381/,2
The Ritual  ,http://us.imdb.com/title/tt5638642/,0
"Roman J. Israel, Esq.  ",http://us.imdb.com/title/tt6000478/,3
Rough Night  ,http://us.imdb.com/title/tt4799050/,3
Sand Castle  ,http://us.imdb.com/title/tt2582576/,0
Seagull  ,http://us.imdb.com/title/tt5997830/,3
seven sisters  ,http://us.imdb.com/title/tt4956232/,3
The Shack  ,http://us.imdb.com/title/tt2872518/,3
The Shape of Water  ,http://us.imdb.com/title/tt5580390/,3
Sharknado 5: Global Swarming  ,http://us.imdb.com/title/tt6298780/,3
Signature Move ,http://us.imdb.com/title/tt5328952/,3
Singwa hamgge  ,http://us.imdb.com/title/tt7160070/,1
Snatched  ,http://us.imdb.com/title/tt2334871/,3
The Space Between Us  ,http://us.imdb.com/title/tt3922818/,3
Spider-Man: Homecoming  ,http://us.imdb.com/title/tt2250912/,3
The Square  ,http://us.imdb.com/title/tt4995790/,1
Star Wars: The Last Jedi   ,http://us.imdb.com/title/tt2527336/,3
Sweet Virginia  ,http://us.imdb.com/title/tt2582498/,3
T2 Trainspotting  ,http://us.imdb.com/title/tt2763304/,3
Table 19  ,http://us.imdb.com/title/tt1412528/,3
That's Not Me  ,http://us.imdb.com/title/tt4738802/,3
Thelma  ,http://us.imdb.com/title/tt6304046/,3
Thor: Ragnarok  ,http://us.imdb.com/title/tt3501632/,1
Thoroughbreds  ,http://us.imdb.com/title/tt5649108/,3
"Three Billboards Outside Ebbing, Missouri  ",http://us.imdb.com/title/tt5027774/,3
To the bone  ,http://us.imdb.com/title/tt5541240/,3
Transformers: The Last Knight  ,http://us.imdb.com/title/tt3371366/,1
Tulip Fever  ,http://us.imdb.com/title/tt0491203/,3
Tuntematon sotilas  ,http://us.imdb.com/title/tt4065552/,3
Un beau soleil interieur  ,http://us.imdb.com/title/tt6423776/,2
Unforgettable  ,http://us.imdb.com/title/tt3462710/,3
Unlocked  ,http://us.imdb.com/title/tt1734493/,3
Valerian and the City of a Thousand Planets  ,http://us.imdb.com/title/tt2239822/,1
Verónica  ,http://us.imdb.com/title/tt5862312/,3
Victoria & Abdul  ,http://us.imdb.com/title/tt5816682/,2
The Wall  ,http://us.imdb.com/title/tt4218696/,0
War for the Planet of the Apes  ,http://us.imdb.com/title/tt3450958/,1
What Happened to Monday  ,http://us.imdb.com/title/tt1536537/,3
Wheelman  ,http://us.imdb.com/title/tt5723286/,1
The Wife  ,http://us.imdb.com/title/tt3750872/,3
Wilson  ,http://us.imdb.com/title/tt1781058/,3
Wind River  ,http://us.imdb.com/title/tt5362988/,3
Wish Upon  ,http://us.imdb.com/title/tt5322012/,3
Wolf Warrior 2  ,http://us.imdb.com/title/tt7131870/,1
Wonder  ,http://us.imdb.com/title/tt2543472/,3
Wonder Wheel  ,http://us.imdb.com/title/tt5825380/,3
Wonder Woman   ,http://us.imdb.com/title/tt0451279/,3
