movie_name,movie_yr,movie_directors,movie_writers
Fast Times at Ridgemont High,1982,['Amy Heckerling'],"['Cameron Crowe', 'Cameron Crowe']"
The Wind,1982,['Souleymane Cissé'],['Souleymane Cissé']
First Blood,1982,['Ted Kotcheff'],"['David Morrell', 'Michael Kozoll']"
The Fits,2015,['Anna Rose Holmer'],"['Anna Rose Holmer', 'Anna Rose Holmer']"
Forbidden World,1982,['Allan Holzman'],"['Tim Curnen', 'Jim Wynorski']"
Frances,1982,['Graeme Clifford'],"['Eric Bergren', 'Christopher De Vore']"
Friday the 13th Part III,1982,['Steve Miner'],"['Martin Kitrosser', 'Carol Watson']"
Godard's Passion,1982,['Jean-Luc Godard'],['Jean-Luc Godard']
Grease 2,1982,['Patricia Birch'],"['Ken Finkleman', 'Jim Jacobs']"
The King of Comedy,1982,['Martin Scorsese'],['Paul D. Zimmerman']
Koyaanisqatsi,1982,['Godfrey Reggio'],"['Ron Fricke', 'Michael Hoenig']"
"Ladies and Gentlemen, the Fabulous Stains",1982,['Lou Adler'],['Nancy Dowd']
The Last American Virgin,1982,['Boaz Davidson'],['Boaz Davidson']
The Last Unicorn,1982,"['Jules Bass', 'Arthur Rankin Jr.']","['Peter S. Beagle', 'Peter S. Beagle']"
The Return of Martin Guerre,1982,['Daniel Vigne'],"['Jean-Claude Carrière', 'Janet Lewis']"
Liquid Sky,1982,['Slava Tsukerman'],"['Slava Tsukerman', 'Anne Carlisle']"
Pieces,1982,['Juan Piquer Simón'],"['Dick Randall', 'Roberto Loyola']"
Missing,1982,['Costa-Gavras'],"['Costa-Gavras', 'Donald E. Stewart']"
Pink Floyd: The Wall,1982,['Alan Parker'],"['Roger Waters', 'Roger Waters']"
Poltergeist,1982,['Tobe Hooper'],"['Steven Spielberg', 'Michael Grais']"
Porky's,1981,['Bob Clark'],['Bob Clark']
Rocky III,1982,['Sylvester Stallone'],['Sylvester Stallone']
The Scarlet Pimpernel,1982,['Clive Donner'],"['William Bast', 'Baroness Emmuska Orczy']"
The Secret of NIMH,1982,['Don Bluth'],"[""Robert C. O'Brien"", 'Don Bluth']"
The Slumber Party Massacre,1982,['Amy Holden Jones'],['Rita Mae Brown']
Smithereens,1982,['Susan Seidelman'],"['Susan Seidelman', 'Ron Nyswaner']"
Sophie's Choice,1982,['Alan J. Pakula'],"['William Styron', 'Alan J. Pakula']"
Star Trek II: The Wrath of Khan,1982,['Nicholas Meyer'],"['Gene Roddenberry', 'Harve Bennett']"
The State of Things,1982,['Wim Wenders'],"['Robert Kramer', 'Wim Wenders']"
Swamp Thing,1982,['Wes Craven'],"['Wes Craven', 'Len Wein']"
Tenebre,1982,['Dario Argento'],"['Dario Argento', 'Dario Argento']"
The Thing,1982,['John Carpenter'],['John W. Campbell Jr.']
Tootsie,1982,['Sydney Pollack'],"['Larry Gelbart', 'Murray Schisgal']"
TRON,1982,['Steven Lisberger'],"['Steven Lisberger', 'Steven Lisberger']"
The Verdict,1982,['Sidney Lumet'],"['Barry Reed', 'David Mamet']"
Victor Victoria,1982,['Blake Edwards'],"['Blake Edwards', 'Hans Hoemburg']"
The Beyond,1981,['Lucio Fulci'],"['Dardano Sacchetti', 'Dardano Sacchetti']"
An American Werewolf in London,1981,['John Landis'],['John Landis']
Blow Out,1981,['Brian De Palma'],['Brian De Palma']
Body Heat,1981,['Lawrence Kasdan'],['Lawrence Kasdan']
Chariots of Fire,1981,['Hugh Hudson'],['Colin Welland']
Christiane F.,1981,['Uli Edel'],"['Uli Edel', 'Kai Hermann']"
Clash of the Titans,1981,['Desmond Davis'],['Beverley Cross']
Das Boot,1981,['Wolfgang Petersen'],"['Wolfgang Petersen', 'Lothar G. Buchheim']"
Der subjektive Faktor,1981,['Helke Sander'],['Helke Sander']
Diva,1981,['Jean-Jacques Beineix'],"['Daniel Odier', 'Jean-Jacques Beineix']"
Dragonslayer,1981,['Matthew Robbins'],"['Hal Barwood', 'Matthew Robbins']"
Escape from New York,1981,['John Carpenter'],"['John Carpenter', 'Nick Castle']"
The Evil Dead,1981,['Sam Raimi'],['Sam Raimi']
Excalibur,1981,['John Boorman'],"['Thomas Malory', 'Rospo Pallenberg']"
For Your Eyes Only,1981,['John Glen'],"['Richard Maibaum', 'Michael G. Wilson']"
The Fox and the Hound,1981,"['Ted Berman', 'Richard Rich', '1 more credit']","['Daniel P. Mannix', 'Larry Clemmons']"
Friday the 13th Part 2,1981,['Steve Miner'],"['Ron Kurz', 'Victor Miller']"
Galaxy of Terror,1981,['Bruce D. Clark'],"['Marc Siegler', 'Bruce D. Clark']"
The Great Muppet Caper,1981,['Jim Henson'],"['Tom Patchett', 'Jay Tarses']"
Gregory's Girl,1980,['Bill Forsyth'],['Bill Forsyth']
Halloween II,1981,['Rick Rosenthal'],"['John Carpenter', 'Debra Hill']"
Happy Birthday to Me,1981,['J. Lee Thompson'],"['John C.W. Saxton', 'Peter Jobin']"
Heavy Metal,1981,"['Gerald Potterton', 'John Bruno', '8 more credits']","['Daniel Goldberg', 'Len Blum']"
History of the World: Part I,1981,['Mel Brooks'],['Mel Brooks']
Horror Planet,1981,['Norman J. Warren'],"['Nick Maley', 'Gloria Maley']"
The Howling,1981,['Joe Dante'],"['Gary Brandner', 'John Sayles']"
Il marchese del Grillo,1981,['Mario Monicelli'],"['Bernardino Zapponi', 'Leonardo Benvenuti']"
La fuga de Segovia,1981,['Imanol Uribe'],"['Ángel Amigo', 'Imanol Uribe']"
Lady Chatterley's Lover,1981,['Just Jaeckin'],"['Marc Behm', 'Just Jaeckin']"
Looker,1981,['Michael Crichton'],['Michael Crichton']
The Marva Collins Story,1981,['Peter Levin'],['Clifford Campion']
Mommie Dearest,1981,['Frank Perry'],"['Christina Crawford', 'Frank Yablans']"
Ms .45,1981,['Abel Ferrara'],['Nicholas St. John']
My Dinner with Andre,1981,['Louis Malle'],"['Wallace Shawn', 'Andre Gregory']"
Outland,1981,['Peter Hyams'],['Peter Hyams']
Pennies from Heaven,1981,['Herbert Ross'],"['Dennis Potter', 'Dennis Potter']"
Polyester,1981,['John Waters'],['John Waters']
The Prowler,1981,['Joseph Zito'],"['Glenn Leopold', 'Neal Barbera']"
Quest for Fire,1981,['Jean-Jacques Annaud'],"['Gérard Brach', 'J.H. Rosny Sr.']"
Ragtime,1981,['Milos Forman'],"['E.L. Doctorow', 'Michael Weller']"
Raiders of the Lost Ark,1981,['Steven Spielberg'],"['Lawrence Kasdan', 'George Lucas']"
Reds,1981,['Warren Beatty'],"['Warren Beatty', 'Trevor Griffiths']"
Rich and Famous,1981,['George Cukor'],"['Gerald Ayres', 'John Van Druten']"
Shock Treatment,1981,['Jim Sharman'],"[""Richard O'Brien"", 'Jim Sharman']"
Southern Comfort,1981,['Walter Hill'],"['Michael Kane', 'Walter Hill']"
Stripes,1981,['Ivan Reitman'],"['Len Blum', 'Daniel Goldberg']"
Time Bandits,1981,['Terry Gilliam'],"['Michael Palin', 'Terry Gilliam']"
Umrao Jaan,1981,['Muzaffar Ali'],"['Mirza Muhammad Hadi Ruswa', 'Shama Zaidi']"
